day,usd_spot_vol,usd_fut_vol,eur_spot_vol,eur_fut_vol
1,0.0012845779819024307,0.0013779378775038572,0.005315882845147149,0.004674220323269519
2,0.0012984719415031704,0.0013951692936068753,0.005316868644303878,0.00468389515922141
3,0.0013258190672778309,0.0014290039013451345,0.005318776715769218,0.004702750819510519
4,0.001365803614460615,0.0014782924299179825,0.005321486832486278,0.004729846233451085
5,0.0014173450701616623,0.0015415393140274353,0.005324834685851371,0.004763879700984072
6,0.001479221346439486,0.0016170898945798797,0.005328628432716135,0.004803301770818099
7,0.0015501780610658212,0.0017032867605049024,0.005332666837186644,0.004846439076096676
8,0.0016290093081900096,0.001798576070669477,0.0053367566294303635,0.004891614343180394
9,0.0017146074315288232,0.0019015651616636864,0.005340727055284204,0.004937250842931455
10,0.0018059867929305553,0.0020110430767014474,0.0053444402292209614,0.004981953743480224
11,0.001902289155153884,0.002125977493430541,0.0053477966766563014,0.005024565044434917
12,0.002002777837749112,0.0022454990608768,0.005350736203368398,0.005064192302853408
13,0.002106826086614499,0.0023688806074417725,0.005353234833703056,0.0051002138947947575
14,0.0022139032594062137,0.0024955156227446924,0.005355298939544347,0.0051322650913390696
15,0.002323560952961123,0.0026248982734048344,0.005356957818910276,0.005160209922789178
16,0.002435420178216266,0.0027566058931348158,0.005358255904902358,0.005184103865051858
17,0.002549160051074645,0.0028902841548235306,0.005359245553328495,0.005204151999621992
18,0.0026645081036554864,0.0030256347689243185,0.00535998104472146,0.0052206666297622065
19,0.002781232131966398,0.0031624054017595116,0.005360514113864344,0.005234027503201265
20,0.002899133412450334,0.0033003814697068583,0.005360891041223431,0.0052446468936880476
21,0.003018041094707553,0.003439379482194629,0.005361151137568779,0.005252940910115057
22,0.003137807582611519,0.0035792416458225273,0.00536132633511172,0.005259307598241134
23,0.00325830473462237,0.003719831487137856,0.005361441557748089,0.005264111726616333
24,0.003379420737361166,0.0038610302947669982,0.005361515560783895,0.005267675637671974
25,0.003501057529834472,0.004002734219540456,0.005361561984333787,0.005270275209852746
26,0.0036231286769641312,0.004144851903126455,0.005361590433555575,0.005272139810403544
27,0.0037455576094998434,0.004287302531776869,0.005361607467067775,0.005273455097817367
28,0.003868276162878144,0.00443001423280365,0.005361617432401204,0.0052743676237646895
29,0.003991223360367858,0.004572922748170254,0.00536162312984094,0.005274990347676871
30,0.004114344396260307,0.00471597033288647,0.00536162631337548,0.005275408375609999
